,show_id,title,country,year_added,release_year,latest_release_year,seasons,runtimeMinutes,genres,main_category,audience_rating,averageRating,numVotes
229,81094271,Spirit Riding Free: Pony Tales,United States,2019,2017,2019,2,0,Adventure,Kids' TV,1,7.5,32
230,80241004,Stunt Science,United Kingdom,2018,2018,2018,1,0,Reality-TV,British TV Shows,4,4.7,33
231,80108847,Two Fathers,Taiwan,2016,2013,2013,1,50,Drama,International TV Shows,3,7.5,33
232,80170186,Vir: The Robot Boy,Unspecified,2018,2013,2013,2,0,Animation,Kids' TV,3,3.2,33
233,80212481,Yoohoo To The Rescue,South Korea,2019,2019,2019,2,0,Family,Kids' TV,1,6.7,33
234,80135587,Islands Of The Future,United Kingdom,2017,2014,2014,1,53,Documentary,Docuseries,2,6.8,33
235,80241590,Bangkok Love Stories: Plead,Thailand,2019,2019,2019,1,0,Drama,International TV Shows,3,7.4,33
236,81004113,Age Of Rebellion,Taiwan,2018,2018,2018,1,90,Crime,Crime TV Shows,4,8.5,34
237,81098013,The Defected,China,2019,2019,2019,1,0,Crime,Crime TV Shows,4,7.5,34
238,80133311,Riverdale,United States,2019,1997,2019,3,0,Drama,Crime TV Shows,3,7.0,34
239,80077977,The Ranch,United States,2019,2012,2019,7,25,Animation,TV Comedies,4,6.8,34
240,81025019,Pablo,United Kingdom,2019,2017,2017,1,0,Animation,British TV Shows,1,7.0,34
241,80119451,Black Heart,Turkey,2018,2014,2014,1,0,Drama,Crime TV Shows,3,6.3,35
242,81045551,The 43,Unspecified,2019,2019,2019,1,0,Documentary,Crime TV Shows,4,7.4,35
243,80111554,Love Cheque Charge,Taiwan,2016,2014,2014,1,48,Drama,International TV Shows,3,7.9,37
244,81049445,Disappearance,Unspecified,2019,2005,2018,1,120,Crime,International TV Shows,3,5.9,37
245,81050118,Lego Friends: Girls On A Mission,Denmark,2019,2018,2018,1,11,Animation,Kids' TV,1,6.9,37
246,80022276,Bottersnikes & Gumbles,United States,2017,2015,2017,2,11,Adventure,British TV Shows,3,5.1,37
247,80224184,Megatruckers,Australia,2019,2012,2012,1,0,Reality-TV,Reality TV,2,7.0,37
248,80097726,The Hunt,United Kingdom,2017,2014,2015,1,0,Documentary,British TV Shows,2,6.7,37
249,80158817,Tong: Memories,South Korea,2017,2016,2016,1,10,Drama,International TV Shows,3,7.9,37
250,81029570,Top Grier,United States,2018,2016,2018,3,0,Reality-TV,Reality TV,3,5.7,37
251,81020612,Memory Love,Unspecified,2019,2017,2017,1,0,Romance,International TV Shows,3,8.0,37
252,80106611,Love Cuisine,Taiwan,2016,2015,2015,1,73,Drama,International TV Shows,2,7.6,38
253,80999727,Encerrados,Unspecified,2018,2018,2018,1,0,Mystery,International TV Shows,4,6.8,38
254,70259177,Jack Taylor,United States,2013,2010,2016,1,93,Action,Crime TV Shows,4,7.9,39
255,80188935,A Thousand Goodnights,Taiwan,2019,2019,2019,1,72,Drama,International TV Shows,3,7.6,39
256,80022456,Cooked,United States,2016,2015,2016,1,0,Documentary,Docuseries,2,7.5,39
257,80165072,Click For Murder,United Kingdom,2017,2017,2017,1,0,Crime,British TV Shows,3,6.0,39
258,80118873,Conspiracy,United Kingdom,2016,2005,2015,1,40,Drama,British TV Shows,3,8.1,40
259,80237975,Yoko,Unspecified,2018,2015,2016,1,0,Adventure,Kids' TV,1,7.1,40
260,80202146,Luna Petunia: Return To Amazia,Canada,2018,2018,2018,2,0,Animation,Kids' TV,1,4.4,40
261,80177416,Unsolved,United States,2019,2004,2018,1,45,Crime,Crime TV Shows,4,7.4,40
262,81155880,Regiment Diaries,India,2019,2018,2018,1,0,Documentary,Docuseries,3,9.0,40
263,81020653,Iron Ladies,Taiwan,2019,2018,2018,1,75,Romance,International TV Shows,3,6.0,40
264,80216180,Dino Girl Gauko,United States,2019,2019,2019,1,0,Animation,Anime Series,3,7.0,41
265,80162136,Jumping Girl,South Korea,2017,2015,2015,1,9,Drama,International TV Shows,3,5.3,41
